LOC,PC1
150,-0.5783676066546297
151,-0.5614453151025536
152,-0.5984497969208867
153,-0.6323215625022832
154,-0.5972107708837675
155,-0.5970284989282559
156,-0.6383876083501827
157,-0.5914100543892538
158,-0.5330329840561121
159,-0.6134936137176046
160,-0.6216083091643623
161,-0.5223494061314302
162,-0.6243950935208477
163,-0.5336057805311583
164,-0.5917063384284341
165,-0.6149628389280262
166,-0.5063831492419835
167,-0.5054811763302709
168,-0.5132597478505863
169,-0.5383588647987655
170,-0.6186059618108691
171,-0.5363403911459159
172,-0.6622820796287143
173,-0.6778708644002189
174,-0.660985887411136
175,-0.567760252133497
176,-0.57600929989193
177,-0.6253652771249923
178,-0.6428251241310976
179,-0.6295764337735695
180,-0.6204536255473078
181,-0.6421496185280893
182,-0.5942402355764314
183,-0.6760146115784242
184,-0.6359416093329047
185,-0.6650768252115921
186,-0.4671055081410561
187,-0.5469884832444992
188,-0.522013688344732
189,-0.6839250878114811
190,-0.687275710959058
191,-0.6422169596416301
192,-0.6731183474948514
193,-0.6776658925232218
194,-0.6749858492031805
195,-0.7660799234895532
196,-0.4929099129132048
197,-0.5084673472184856
198,-0.50578189428112
199,-0.5302755577250778
200,-0.43654027174399507
201,-0.4850986654764359
202,-0.5092953327864834
203,-0.4528383378222831
204,-0.4502654747636847
205,-0.4655778989792939
206,-0.45525680860154527
207,-0.4209507455085618
208,-0.4491300054650401
209,-0.4564864483617109
210,-0.4541906369313244
211,-0.45317639357633693
212,-0.4499167453443982
213,-0.455296050041894
214,-0.45022887928740807
215,-0.4449077862821944
216,-0.45644109503093033
217,-0.44868981111405226
218,-0.4802157311904016
219,-0.4426531189285351
220,-0.4641086688475368
221,-0.4634885709611287
222,-0.4724489962292172
223,-0.4559736790589999
224,-0.45563864093788964
225,-0.44599108179151414
226,-0.4688914604770046
227,-0.4443642364173751
228,-0.445531639392027
229,-0.4404032519009017
230,-0.4800142654875743
231,-0.3442533576504113
232,-0.321476564359522
233,-0.309402724494495
234,-0.2922730732230979
235,-0.3573053024562746
236,-0.02535613415771726
237,-0.022212447415626918
238,0.021938461426957462
239,-1.3811011981232357e-4
240,-0.0018550661397322143
241,0.01223843174103073
242,-0.011447970071811031
243,0.12171450744188356
244,-0.027515617130722897
245,-0.02557895253142281
246,0.011007214279681127
247,0.012808464487255894
248,-0.0039954534979251
249,0.005643609405714067
250,0.012848800196913507
251,-0.002747847561813066
252,-8.347712759375625e-4
253,-0.017444956923579835
254,9.762838866716195e-4
255,-4.0564506008833323e-4
256,0.0025719210693962435
257,0.013374987045445208
258,-0.017659700941617756
259,-0.34363374420744813
260,-0.30429266608165617
261,-0.3230871789825541
262,-0.27872579241540635
263,-0.26820963527058334
264,-0.23341544214531895
265,-0.459926732552833
266,-0.2751312319729794
267,-0.29059318922221455
268,-0.4622184394288845
269,-0.3078500031570753
270,-0.24681152285156005
271,-0.3070240430016238
272,-0.26916660732204556
273,-0.65530231957141
274,-0.23716063293725267
275,-0.2460478385200771
276,-0.30100219562858305
277,-0.24608572165324177
278,-0.2682041198649785
279,-0.22456833443516178
280,-0.3022870718127215
281,-0.3159545345452862
282,-0.30538771532527714
283,-0.27980174409578007
284,-0.3036717670813769
285,-0.31803647393778933
286,-0.32622520396389654
287,-0.24430515494519112
288,-0.32100854159872383
289,-0.2730902916510793
290,-0.2541485472976008
291,-0.29047309991847464
292,-0.2559620652477275
293,-0.3113151544002809
294,-0.4641442655712667
295,-0.31530402073942937
296,-0.3103811891313361
297,-0.24744414017404776
298,-0.24482386901526043
299,-0.2972903871705538
300,-0.4527576467463517
301,-0.31741555883140715
302,-0.30496201496594344
303,-0.29997518352107555
304,-0.3062818363168688
305,-0.3089701060784852
306,-0.2338928031446501
307,-0.31250570454792054
308,-0.45146978562512247
309,-0.46865527611084884
310,-0.4628177845843663
311,-0.3268374358086389
312,-0.2137265006921631
313,-0.22981478451284598
314,-0.306064727552224
315,-0.3004679926439593
316,-0.30761479485772564
317,-0.3031714917295188
318,-0.4503316023752534
319,-0.4643871780949213
320,-0.27110952955005807
321,-0.44968659699088653
322,-0.3057621153708519
323,-0.3060548312105363
324,-0.2731863932661769
325,-0.3033378925537993
326,-0.45362711588802807
327,-0.2761520497075048
328,-0.30429311154903815
329,-0.27268685222024314
330,-0.4651515035230589
331,-0.29908790493108794
332,-0.3096287923605649
333,-0.058960134313366414
334,-0.10985086554405177
335,-0.07874823372344097
336,-0.05643556590323094
337,-0.05922125032686558
338,-0.058249086189770816
339,-0.07393686976084994
340,-0.13116042073805617
341,-0.05678158327668084
342,-0.06122161858653015
343,-0.08616262723329396
344,-0.0785583312007674
345,-0.16059862853056306
346,-0.14424672233202707
347,-0.07055331663567137
348,-0.06061680769542384
349,-0.045375455674598456
350,-0.04326126327081456
351,-0.05717721987806067
